operação;Data;hora;Moeda;quantidade;Valor (Custo FIFO);Ativo_Contraparte;Valor_Recebido_Contraparte;Fees
Compra;2019-03-02;11:20:39;Bitcoin;0.05;743,82;BRL;743,82;0,00025
Compra;2019-03-02;11:20:39;Bitcoin;0.03300269;490,96;BRL;490,96;0,00016501
Compra;2019-03-02;11:20:39;Bitcoin;0.02;297,53;BRL;297,53;0,0001
Retirada para carteira externa;2019-03-02;11:32:52;Bitcoin;0.20037012;2974,12;Carteira Externa;0,0;0,0001
Compra;2019-03-05;08:54:25;Bitcoin;0.1718;2502,93;BRL;2502,93;0,000859
Compra;2019-03-05;08:54:25;Bitcoin;0.00384585;56,03;BRL;56,03;1,923e-05
Compra;2019-03-05;08:54:25;Bitcoin;0.05;728,44;BRL;728,44;0,00025
Compra;2019-03-05;08:54:25;Bitcoin;0.01247895;181,8;BRL;181,8;6,239e-05
Compra;2019-03-05;08:54:35;Bitcoin;0.01690325;246,26;BRL;246,26;4,226e-05
Compra;2019-03-05;08:55:33;Bitcoin;0.005914;86,16;BRL;86,16;1,479e-05
Compra;2019-03-05;09:16:18;Bitcoin;0.03324668;484,46;BRL;484,46;0,0001516
Compra;2019-03-05;09:16:18;Bitcoin;0.049;714,01;BRL;714,01;0,00022343
Compra;2019-03-05;09:16:18;Bitcoin;0.0859;1251,7;BRL;1251,7;0,00039169
Compra;2019-03-05;09:16:18;Bitcoin;0.02065392;300,96;BRL;300,96;9,418e-05
Retirada para carteira externa;2019-03-05;09:21:10;Bitcoin;0.44753409;6525,66;Carteira Externa;0,0;0,0001
Entrada Fiat;2019-03-08;14:54:11;BRL;;6000,0;Banco;6000,0;0,0
Compra;2019-03-08;14:55:26;Ethereum;2.9286562;1551,86;BRL;1551,86;0,01464328
Compra;2019-03-08;14:55:26;Ethereum;0.61708197;326,98;BRL;326,98;0,00308541
Compra;2019-03-08;14:56:09;Ethereum;4.50266865;2385,92;BRL;2385,92;0,01125667
Compra;2019-03-08;14:57:27;Ethereum;2.45955021;1306,12;BRL;1306,12;0,01229775
Compra;2019-03-08;14:58:23;Ethereum;0.55493601;294,69;BRL;294,69;0,00277468
Compra;2019-03-08;14:59:19;Ethereum;0.25273052;134,44;BRL;134,44;0,00126365
Retirada para carteira externa;2019-03-08;15:30:09;Ethereum;6.1997858;3284,11;Carteira Externa;0,0;0,0002142
Retirada para carteira externa;2019-03-08;16:22:25;Ethereum;5.07020972;2690,53;Carteira Externa;0,0;9,24e-05
Entrada Fiat;2019-03-19;14:38:59;BRL;;6000,0;Banco;6000,0;0,0
Compra;2019-03-19;14:40:19;Litecoin;0.3225105;74,61;BRL;74,61;0,00161255
Compra;2019-03-19;14:43:39;Bitcoin;0.26557105;4089,25;BRL;4089,25;0,00132786
Compra;2019-03-19;14:43:39;Bitcoin;0.00069747;10,74;BRL;10,74;3,49e-06
Compra;2019-03-19;14:45:34;Litecoin;7.01142737;1622,4;BRL;1622,4;0,03505714
Compra;2019-03-19;14:45:34;Litecoin;0.68031974;157,42;BRL;157,42;0,0034016
Compra;2019-03-19;14:45:34;Litecoin;0.175;40,49;BRL;40,49;0,000875
Retirada para carteira externa;2019-03-19;14:57:15;Litecoin;8.14801132;1885,39;Carteira Externa;0,0;0,0003
Retirada para carteira externa;2019-03-19;15:31:14;Bitcoin;0.26483717;4062,32;Carteira Externa;0,0;0,0001
Retirada para carteira externa;2019-03-19;15:35:00;Litecoin;8.14801132;9,54;Carteira Externa;0,0;0,0003
Retirada para carteira externa;2019-03-19;15:40:41;Litecoin;8.14801132;0,0;Carteira Externa;0,0;0,0003
Entrada Fiat;2019-03-29;16:51:13;BRL;;4200,0;Banco;4200,0;0,0
Compra;2019-03-29;16:55:30;Bitcoin;0.25837697;4205,08;BRL;4205,08;0,00129188
Retirada para carteira externa;2019-03-29;17:06:18;Bitcoin;0.25685733;4162,51;Carteira Externa;0,0;0,00022776
Entrada Fiat;2019-04-02;06:51:17;BRL;;4800,0;Banco;4800,0;0,0
Compra;2019-04-02;07:07:17;Bitcoin;0.24136228;4424,85;BRL;4424,85;0,00120681
Compra;2019-04-02;07:07:17;Bitcoin;0.02046109;375,11;BRL;375,11;0,00010231
Retirada para carteira externa;2019-04-03;21:40:16;Bitcoin;0.26006749;4722,78;Carteira Externa;0,0;0,00044676
Entrada Fiat;2019-04-05;17:32:45;BRL;;5000,0;Banco;5000,0;0,0
Compra;2019-04-06;12:55:40;Bitcoin;0.06358805;1262,18;BRL;1262,18;0,00031794
Compra;2019-04-06;12:55:40;Bitcoin;0.00307029;60,94;BRL;60,94;1,535e-05
Compra;2019-04-06;12:55:40;Bitcoin;0.1849793;3671,7;BRL;3671,7;0,0009249
Retirada para carteira externa;2019-04-10;17:01:14;Bitcoin;0.24988889;4924,29;Carteira Externa;0,0;0,00049056
Entrada Fiat;2019-04-25;15:54:00;BRL;;2500,0;Banco;2500,0;0,0
Compra;2019-04-25;15:58:35;Bitcoin;0.11287322;2505,22;BRL;2505,22;0,00056437
Retirada para carteira externa;2019-04-26;00:33:20;Bitcoin;0.11211175;2428,81;Carteira Externa;0,0;0,0001971
Entrada Fiat;2019-05-10;13:56:21;BRL;;2250,0;Banco;2250,0;0,0
Compra;2019-05-10;14:17:50;Bitcoin;0.08720934;2250,0;BRL;2250,0;0,00021802
Entrada Fiat;2019-05-13;11:53:21;BRL;;2550,0;Banco;2550,0;0,0
